Name,MS,BNS,MGF,LM
GRB140330180,9.257e-01,7.381e-02,4.999e-04,1.157e-09
GRB140402007,1.520e-01,6.623e-01,1.857e-01,1.567e-10
GRB140404030,7.853e-01,2.117e-01,2.984e-03,3.773e-09
GRB140404171,9.282e-01,7.127e-02,5.677e-04,4.637e-10
GRB140404900,8.470e-01,1.514e-01,1.606e-03,1.678e-09
GRB140405033,8.014e-01,1.961e-01,2.453e-03,4.546e-09
GRB140406120,5.933e-01,4.067e-01,6.214e-06,1.667e-12
GRB140406144,8.670e-01,1.320e-01,9.359e-04,8.053e-10
GRB140408553,7.917e-01,2.055e-01,2.765e-03,3.896e-09
GRB140414693,8.669e-01,1.320e-01,1.094e-03,8.858e-10
GRB140416060,1.000e+00,4.014e-06,2.543e-06,1.071e-12
GRB140422194,8.239e-01,1.742e-01,1.958e-03,2.333e-09
GRB140423356,9.736e-01,2.622e-02,1.705e-04,9.716e-11
GRB140426515,8.193e-01,1.787e-01,2.078e-03,2.636e-09
GRB140427702,7.484e-01,2.466e-01,5.039e-03,3.185e-09
GRB140428906,9.531e-02,5.547e-01,3.500e-01,5.792e-11
GRB140429975,7.985e-01,1.988e-01,2.637e-03,3.203e-09
GRB140430716,8.095e-01,1.883e-01,2.267e-03,5.362e-08
GRB140501497,8.283e-01,1.701e-01,1.581e-03,2.648e-09
GRB140502354,8.156e-01,1.824e-01,2.020e-03,2.806e-09
GRB140506880,9.862e-01,1.375e-02,6.489e-05,4.575e-16
GRB140508128,1.000e+00,1.655e-06,8.898e-09,4.127e-14
GRB140508179,8.896e-01,1.095e-01,9.526e-04,6.219e-10
GRB140508629,9.024e-01,9.694e-02,6.878e-04,4.776e-10
GRB140511095,1.367e-01,5.336e-01,3.297e-01,1.203e-10
GRB140511995,4.812e-01,5.184e-01,4.864e-04,2.523e-10
GRB140512814,9.996e-01,3.623e-04,1.859e-05,1.236e-12
GRB140513724,8.166e-01,1.815e-01,1.837e-03,2.363e-08
GRB140516700,9.828e-01,1.711e-02,7.745e-05,6.140e-11
GRB140516765,8.722e-01,1.268e-01,1.049e-03,8.132e-10
GRB140517813,8.039e-01,1.937e-01,2.410e-03,4.235e-09
GRB140518709,6.975e-02,9.280e-01,2.289e-03,5.798e-11
GRB140519043,8.078e-01,1.899e-01,2.224e-03,3.382e-09
GRB140521184,9.637e-01,3.609e-02,1.944e-04,1.054e-10
